threshold,accuracy,precision,recall,specificity,f1,fpr,fnr,tp,fp,tn,fn
0.1,0.5330514133095927,0.2936819661093031,1.0,0.42054870189652,0.4540249826509368,0.5794512981034801,0.0,2617,6294,4568,0
0.12000000000000001,0.5873581126196306,0.31996576598606186,1.0,0.48793960596575214,0.484809188588366,0.5120603940342479,0.0,2617,5562,5300,0
0.14,0.6364715483344462,0.3481442064653452,1.0,0.5488860246731725,0.5164791790013815,0.45111397532682745,0.0,2617,4900,5962,0
0.16000000000000003,0.6795756361747904,0.37730680507497116,1.0,0.6023752531762107,0.5478907149586518,0.39762474682378934,0.0,2617,4319,6543,0
0.18000000000000002,0.7216410712960902,0.41086854091408825,0.9996178830722201,0.6546676486834837,0.5823686553873553,0.3453323513165163,0.00038211692777990065,2616,3751,7111,1
0.2,0.7568068847837377,0.44385935111262104,0.9984715322888804,0.6985822132204014,0.6145343367826905,0.3014177867795986,0.0015284677111196026,2613,3274,7588,4
0.22000000000000003,0.7904889086727502,0.4809357156013999,0.9977072984333206,0.7405634321487755,0.649018145662441,0.25943656785122443,0.0022927015666794038,2611,2818,8044,6
0.24000000000000002,0.8196453742859262,0.5185037803422204,0.9957967137944211,0.7772049346345056,0.6819311788564699,0.22279506536549437,0.004203286205578907,2606,2420,8442,11
0.26,0.8462052081014912,0.5583690987124463,0.9942682460833014,0.8105321303627324,0.7151298612065412,0.18946786963726753,0.00573175391669851,2602,2058,8804,15
0.28,0.8692781363602641,0.598479612992398,0.9927397783721819,0.8395323144908856,0.7467663121586663,0.16046768550911433,0.0072602216278181125,2598,1743,9119,19
0.30000000000000004,0.8901995697010164,0.6413124533929903,0.9858616736721437,0.8671515374700792,0.7771084337349397,0.13284846252992083,0.014138326327856323,2580,1443,9419,37
0.32000000000000006,0.9069663921655909,0.6813947298376364,0.9782193351165457,0.8897993003130179,0.8032632569814873,0.11020069968698214,0.021780664883454336,2560,1197,9665,57
0.3400000000000001,0.9219526671118036,0.7227440933674921,0.9701948796331678,0.9103295893942184,0.8283849918433932,0.08967041060578163,0.02980512036683225,2539,974,9888,78
0.3600000000000001,0.9331552785814972,0.760157671315949,0.957967137944211,0.9271773154115264,0.8476754015215553,0.07282268458847357,0.04203286205578907,2507,791,10071,110
0.38,0.940203279175013,0.7888357256778309,0.9449751623996943,0.9390535812925797,0.8598748261474269,0.06094641870742037,0.055024837600305694,2473,662,10200,144
0.4,0.9456191112100304,0.8158953722334004,0.9296904852884983,0.9494568219480759,0.8690837649580283,0.05054317805192414,0.07030951471150172,2433,549,10313,184
0.42000000000000004,0.9488834483270272,0.8382456140350877,0.9128773404661826,0.9575584606886393,0.873971099323212,0.04244153931136071,0.08712265953381734,2389,461,10401,228
0.44000000000000006,0.9536315750426589,0.8694362017804155,0.8956820787160871,0.9675934450377462,0.8823640127987953,0.032406554962253725,0.10431792128391287,2344,352,10510,273
0.4600000000000001,0.9545960382817716,0.8851325393776411,0.8803974016048911,0.9724728410974038,0.8827586206896552,0.027527158902596206,0.11960259839510891,2304,299,10563,313
